Sample data file : F:\BRDF\Mascagnite\mascagnite_B02-3_i0e70a0.txt
Corrected by: F:\BRDF\Reference\20211115_spectralon_i0e70a0.txt at 20degres
and F:\BRDF\Reference\20211108_infragold_i0e20a0.txt linked at 1300nm
1000.000000	0.962665	0.002313
1010.000000	0.957586	0.001920
1020.000000	0.953795	0.001075
1030.000000	0.944404	0.001132
1040.000000	0.937395	0.001872
1050.000000	0.929447	0.001703
1060.000000	0.925797	0.001769
1070.000000	0.929194	0.001248
1080.000000	0.934151	0.001381
1090.000000	0.943037	0.001405
1100.000000	0.942193	0.002649
1110.000000	0.950802	0.001947
1120.000000	0.956671	0.001587
1130.000000	0.960997	0.001987
1140.000000	0.966153	0.001470
1150.000000	0.966061	0.001419
1160.000000	0.965245	0.001434
1170.000000	0.962503	0.002114
1180.000000	0.957713	0.001227
1190.000000	0.948477	0.001166
1200.000000	0.936491	0.001698
1210.000000	0.918196	0.001875
1220.000000	0.894021	0.001315
1230.000000	0.871254	0.001252
1240.000000	0.853961	0.001177
1250.000000	0.837165	0.001157
1260.000000	0.822847	0.001189
1270.000000	0.816864	0.001214
1280.000000	0.816602	0.000895
1290.000000	0.818415	0.001045
1300.000000	0.820774	0.000920
1310.000000	0.824590	0.001059
1320.000000	0.831948	0.000715
1330.000000	0.839403	0.001077
1340.000000	0.846618	0.000667
1350.000000	0.851117	0.000718
1360.000000	0.854219	0.000836
1370.000000	0.861613	0.000997
1380.000000	0.862907	0.000819
1390.000000	0.869749	0.000962
1400.000000	0.871289	0.000804
1410.000000	0.873212	0.001200
1420.000000	0.870001	0.000765
1430.000000	0.862262	0.000568
1440.000000	0.852701	0.001194
1450.000000	0.838390	0.000940
1460.000000	0.819979	0.000907
1470.000000	0.797233	0.000780
1480.000000	0.771111	0.001063
1490.000000	0.741561	0.000739
1500.000000	0.707757	0.000714
1510.000000	0.668289	0.001062
1520.000000	0.622203	0.000760
1530.000000	0.572661	0.000817
1540.000000	0.527010	0.000955
1550.000000	0.489280	0.001018
1560.000000	0.458372	0.000963
1570.000000	0.443207	0.000996
1580.000000	0.449664	0.001147
1590.000000	0.467301	0.001241
1600.000000	0.484360	0.000816
1610.000000	0.503977	0.000302
1620.000000	0.519074	0.000382
1630.000000	0.528722	0.000347
1640.000000	0.536286	0.000306
1650.000000	0.546781	0.000359
1660.000000	0.560750	0.000404
1670.000000	0.575977	0.000343
1680.000000	0.590664	0.000401
1690.000000	0.603629	0.000376
1700.000000	0.614914	0.000497
1710.000000	0.625219	0.000436
1720.000000	0.634395	0.000379
1730.000000	0.641782	0.000462
1740.000000	0.647186	0.000538
1750.000000	0.649981	0.000434
1760.000000	0.650834	0.000463
1770.000000	0.649903	0.000846
1780.000000	0.647110	0.000510
1790.000000	0.644631	0.000479
1800.000000	0.640752	0.000453
1810.000000	0.636241	0.000578
1820.000000	0.630004	0.000537
1830.000000	0.622986	0.000664
1840.000000	0.614373	0.000477
1850.000000	0.605674	0.000469
1860.000000	0.594648	0.000616
1870.000000	0.579923	0.000662
1880.000000	0.565054	0.000566
1890.000000	0.550213	0.000472
1900.000000	0.531724	0.000541
1910.000000	0.511881	0.000743
1920.000000	0.491927	0.000501
1930.000000	0.470584	0.000529
1940.000000	0.444912	0.000528
1950.000000	0.415149	0.000552
1960.000000	0.380881	0.000463
1970.000000	0.340956	0.000631
1980.000000	0.296241	0.000572
1990.000000	0.248582	0.001171
2000.000000	0.205211	0.000523
2010.000000	0.175424	0.000722
2020.000000	0.159318	0.000425
2030.000000	0.150957	0.000483
2040.000000	0.145024	0.000716
2050.000000	0.141925	0.000474
2060.000000	0.139848	0.000616
2070.000000	0.136437	0.000643
2080.000000	0.128860	0.000604
2090.000000	0.119030	0.000736
2100.000000	0.109274	0.000629
2110.000000	0.099029	0.000679
2120.000000	0.090315	0.000560
2130.000000	0.084805	0.000692
2140.000000	0.083996	0.000761
2150.000000	0.086177	0.000504
2160.000000	0.090750	0.000497
2170.000000	0.098181	0.000580
2180.000000	0.108501	0.000746
2190.000000	0.120209	0.000702
2200.000000	0.133154	0.000588
2210.000000	0.145934	0.000608
2220.000000	0.158782	0.000711
2230.000000	0.170480	0.000740
2240.000000	0.181710	0.000698
2250.000000	0.193569	0.000674
2260.000000	0.205676	0.000697
2270.000000	0.218375	0.000917
2280.000000	0.231237	0.000790
2290.000000	0.243150	0.000600
2300.000000	0.255252	0.000720
2310.000000	0.266237	0.000730
2320.000000	0.277711	0.000661
2330.000000	0.289406	0.000819
2340.000000	0.303520	0.000573
2350.000000	0.318507	0.000832
2360.000000	0.332859	0.000982
2370.000000	0.345846	0.000914
2380.000000	0.361113	0.000997
2390.000000	0.377148	0.000929
2400.000000	0.393895	0.001118
2410.000000	0.411517	0.000637
2420.000000	0.427997	0.001015
2430.000000	0.440484	0.000706
2440.000000	0.448598	0.000945
2450.000000	0.454249	0.001046
2460.000000	0.457598	0.000976
2470.000000	0.457272	0.000962
2480.000000	0.453796	0.001477
2490.000000	0.450583	0.000815
2500.000000	0.445238	0.000908
2510.000000	0.436698	0.000763
2520.000000	0.428079	0.001494
2530.000000	0.416115	0.001174
2540.000000	0.404864	0.000620
2550.000000	0.392366	0.001116
2560.000000	0.380562	0.001432
2570.000000	0.365492	0.001614
2580.000000	0.352785	0.001696
2590.000000	0.337744	0.002216
2600.000000	0.323754	0.001713
2610.000000	0.309719	0.001329
2620.000000	0.296375	0.001500
2630.000000	0.281655	0.001631
2640.000000	0.268660	0.001592
2650.000000	0.254280	0.001462
2660.000000	0.238629	0.002044
